Tweet,,,
"russian media reports of another loss of russian Su-25 attack aircraft due to “engine fire”. 
Waiting for confirmation.
RussiaUkraineWar",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"To this end, activity of the voice network of the russian strategic aviation on the training frequency (8131) reported. The transmitter is on. Tu-95ms training flight/ground controller training is possible.
via  .
RussiaUkraineWar",,,
 How can they call for 🌎🌍🌏PEACE with all the bragging and provocation videos that they post? WWIII Ukraine️ RussiaUkraineWar,,,
_1love How can they call for 🌎🌍🌏PEACE with all the bragging and provocation videos that they post? WWIII Ukraine️ RussiaUkraineWar,,,
 How can they call for 🌎🌍🌏PEACE with all the bragging and provocation videos that they post? WWIII Ukraine️ RussiaUkraineWar,,,
_misfit How can they call for 🌎🌍🌏PEACE with all the bragging and provocation videos that they post? WWIII Ukraine️ RussiaUkraineWar,,,
"In Germany, residents brought flowers to the Russian tank,which Zelensky and Scholz installed in front of the Russian embassy in Berlin Russia UkraineRussiaWar RussianUkrainianWar RussiaUkraineWar Russian RussianArmy Zelensky UkraineRussianWar Ukraine Kiev NATO Scholz ",,,
"50,000 people came to an anti-war rally in Munich today. Of course, everyone will want to say this is a pro Russian rally. The truth is that it’s an anti-World War III rally. Germany NordStream RussiaUkraineWar ",,,
"My 89th GlobalRoundUp with _nationalist on 

1.PICO satellites of students launched
2. throws his 🧢 for GOP race
3.RussiaUkraineWar 1-year
4. visits Kyiv
5.IMF tells Pakistan to act like a nation
+More

",,,
"“Zelensky doesn’t need F-16s,” Biden told ABC News.🇺🇦🇺🇦ArmUkraineNow StandWithUkraine StopPutin SlavaUkraine Ukraina StopRussia UkraineWillWin RussiaisATerroistState RussiaIsLosing RussiaUkraineWar StopWar Ukraine️ ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"Ukrainian President Volodymyr  has said that the Ukrainian peace formula will serve as a basis for new security in Europe and the world.

StandWithUkraine RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
The one-year anniversary of the RussiaUkraineWar marks an important turning point in our understanding of the post-Second World War global order. From Harsh V Pant ,,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"Foodsecurity is an area that became prominent recently because of the RussiaUkraineWar and the resulting food crisis, states _swears ",,,
"The pressure on Russia must increase, and Ukraine expects decisive steps against the Russian nuclear industry and the Rosatom corporation, as well as more pressure on the Russian military and banks, -  

StandWithUkraine RussiaUkraineWar ",,,
"Hundreds of videos online showing nazi 'recruiters' kidnapping male citizens (mainly in minority areas), bundling them off to the front where their survival time is measured in hours.  All ignored by West media.  UkraineRussianWar RussiaUkraineWar NaziUkraine Zelenski ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"2）

Russia to go against the U.S. and Europe, and has instructed Taiwanese traitors to get ready to create trouble on the island. The CCP is determined to take action against Taiwan in 2023!
takedownCCP Taiwanesetraitor RussiaUkraineWar IronTriangle",,,
"Welcome UkraineFrontLines reserve account. If smth would happen to our main account  the truth about RussiaUkraineWar moves here. While we fix the issue. We think positive. It’s just to be safe &amp; hold info front for you 24/7.
Just keep it in mind.  UkraineHolds",,,
"RussiaUkraineWar | Russia steps up shelling in Kherson intensifies; Zelensky wants Xi Jinping meeting following China's peace plan

 with groundreport from Kherson 

Join the broadcast with  ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"The pressure on Russia must increase, and Ukraine expects decisive steps against the Russian nuclear industry and the Rosatom corporation, as well as more pressure on the Russian military and banks, -  

StandWithUkraine RussiaUkraineWar ",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"UkraineRussiaWar RussiaUkraineWar Ukraina UkraineWarNews USA NATO Russia 

Interesting below, hat-tip 

Zionists domination pitting East. EUR (primarily Russia) against Cen. (Poland, Germany etc.) Why instigated war RU-UKR via 2014 coup.

",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"Putin’s suspensions comes in context of that disastrous war, which has gravely undermined the capacity and credibility of Russia’s conventional military deterrence 
 

RussiaUkraineWar",,,
"Anonymous sudan continues to target Denmark 

( for those wondering, I use the name the groups call themselves)

cybersecurity infosec RussiaUkraineWar UkraineRussiaWar ",,,
